"#","RefDes","Value","Name","Manufacturer","Part Number (Digi-Key)","Quantity","Pattern"
"1","B801","","BK-883","MPD","BK-883-ND","1","MPD_BK-883"
"2","C101",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"3","C102",".120 uF 25V X7R 0805",".120 uF X7R 0805","AVX 08053C124KAT2A","478-5161-6-ND","1","CAPC2012x140N"
"4","C103",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"5","C104",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"6","C105","CAP CER 18PF 50V C0G/NP0","CAP 18PF 50V C0G/NP0","Kemet C0603C180J5GACTU","399-1052-1-ND","1","CAPC1608X90N"
"7","C106","CAP CER 18PF 50V C0G/NP0","CAP 18PF 50V C0G/NP0","Kemet C0603C180J5GACTU","399-1052-1-ND","1","CAPC1608X90N"
"8","C201",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"9","C202","22uF 16V 4.3mm","22 uF 16V 4.3mm","KEMET EDK226M016A9BAA","399-11437-1-ND","1","CAPAE430X550L180X65N"
"10","C203",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"11","C204",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"12","C205","22uF 16V 4.3mm","22 uF 16V 4.3mm","KEMET EDK226M016A9BAA","399-11437-1-ND","1","CAPAE430X550L180X65N"
"13","C301","10 uF 10V X7R 0805","10 uF 10V X7R 0805","Murata GRM033R71A103KA01J","490-6143-1-ND","1","CAPC2012x140N"
"14","C305",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"15","C306",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"16","C307",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"17","C308",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"18","C309","22uF","22uF","Panasonic EEE-1VA2R2NR","PCE4295CT-ND","1","CAPAE430X550L180X65N"
"19","C401",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"20","C402",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"21","C403",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"22","C404",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"23","C405",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"24","C501",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"25","C502","4.7 nF / 1kV Ceramic","4.7 nF / 1kV Ceramic","KEMET C0805C472KDRACTU","399-6738-1-ND","1","CAPC2012x140N"
"26","C601",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"27","C602",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"28","C701",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"29","C702","6.8 nF X7R 0603","6.8 nF X7R 0603","Wurth 885012206013","732-7932-1-ND","1","CAPC1608X90N"
"30","C703",".120 uF 25V X7R 0805",".120 uF X7R 0805","AVX 08053C124KAT2A","478-5161-6-ND","1","CAPC2012x140N"
"31","C704",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"32","C705","10PF 100V C0G","CAP 10PF 100V C0G/NP0","KEMET C0603C100J1GACTU","399-7816-1-ND","1","CAPC1608X90N"
"33","C706","10PF 100V C0G","CAP 10PF 100V C0G/NP0","KEMET C0603C100J1GACTU","399-7816-1-ND","1","CAPC1608X90N"
"34","C801",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"35","C802","10PF 100V C0G","CAP 10PF 100V C0G/NP0","KEMET C0603C100J1GACTU","399-7816-1-ND","1","CAPC1608X90N"
"36","C803","10PF 100V C0G","CAP 10PF 100V C0G/NP0","KEMET C0603C100J1GACTU","399-7816-1-ND","1","CAPC1608X90N"
"37","C901",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1","CAPC1608X90N"
"38","D301","","WS2812B","","","1","WS2812B"
"39","D302","","WS2812B","","","1","WS2812B"
"40","D303","","WS2812B","","","1","WS2812B"
"41","D304","","WS2812B","","","1","WS2812B"
"42","D305","","APA3010CGCK-GX","Kingbright","754-1580-6-ND","1","KINGBRIGHT_APA3010CGCK-GX"
"43","D501","PRTR5V0U2X,215","PRTR5V0U2X,215","Philips/NXP","1727-3884-6-ND","1","SOT143-4P190_230X110L30X43N"
"44","J101","","0713085406","Molex","0713085406-ND","1","MOLEX_HDR-2X3S_2.54X2.54_8X6"
"45","J201","DNP","Bat Connector","","","1","BatIn"
"46","J501","","0548190572","Molex","WM17116DKR-ND","1","MOLEX_0548190572"
"47","J502","","FTS-105-01-L-DV","Samtec","SAM1157-05-ND","1","SAMTEC_HDR-2X5S_1.27X1.27_6X6"
"48","J901","DNP","0713085440","Molex","0713085440-ND","1","TE_HDR-2X20TH_2.54X2.54_50X15"
"49","LS301","","AST-03008MR-R","Pui Audio","668-1136-ND","1","PUIAUDIO_AST-03008MR-R"
"50","Q201","BSS138","BSS138LT1G","ON Semiconductor","BSS138LT1GOSDKR-ND","1","SOT23-3P95_240X110L43X44N"
"51","R101","4.7k 0603","4.7k 0603","Yageo RC0603JR-074K7L","311-10KGRCT-ND","1","RES1608X90N"
"52","R102","4.7k 0603","4.7k 0603","Yageo RC0603JR-074K7L","311-10KGRCT-ND","1","RES1608X90N"
"53","R103","10k 0603","10k 0603","Yageo RC0603JR-0710KL","311-10KGRCT-ND","1","RES1608X90N"
"54","R201","100k 0603","100k 0603","YAGEO RC0603JR-07100KL","311-100KGRCT-ND","1","RES1608X90N"
"55","R202","100k 0603","100k 0603","YAGEO RC0603JR-07100KL","311-100KGRCT-ND","1","RES1608X90N"
"56","R301","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1","RES1608X90N"
"57","R302","470 Ohm 0603","470 Ohm 0603","TE Connectivity CRGCQ0603J470R","A130089CT-ND","1","RES1608X90N"
"58","R401","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1","RES1608X90N"
"59","R402","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1","RES1608X90N"
"60","R403","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1","RES1608X90N"
"61","R404","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1","RES1608X90N"
"62","R405","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1","RES1608X90N"
"63","R406","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1","RES1608X90N"
"64","R407","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1","RES1608X90N"
"65","R408","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1","RES1608X90N"
"66","R409","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1","RES1608X90N"
"67","R410","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1","RES1608X90N"
"68","R501","10k 0603","RES 0603","","311-10KGRCT-ND","1","RES_0603"
"69","R502","1k 0603","RES 0603","","311-10KGRCT-ND","1","RES_0603"
"70","R503","1k 0603","1k 0603","","","1","RES1608X90N"
"71","R504","1MOhm 0603","RES 0603","","A130109CT-ND","1","RES_0603"
"72","R701","10k 0603","RES 0603","","311-10KGRCT-ND","1","RES_0603"
"73","R702","10k 0603","RES 0603","","311-10KGRCT-ND","1","RES_0603"
"74","R801","10k 0603","RES 0603","","311-10KGRCT-ND","1","RES_0603"
"75","R901","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1","RES1608X90N"
"76","R902","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1","RES1608X90N"
"77","R903","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1","RES1608X90N"
"78","R904","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1","RES1608X90N"
"79","R905","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1","RES1608X90N"
"80","R906","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1","RES1608X90N"
"81","S201","JS202011SCQN","JS202011SCQN","C&K","401-2002-2-ND","1","JS202011SCQN"
"82","S401","","B3FS-1000P","OMRON","SW423DKR-ND","1","OMRON_B3FS-1000P"
"83","S402","","B3FS-1000P","OMRON","SW423DKR-ND","1","OMRON_B3FS-1000P"
"84","S403","","B3FS-1000P","OMRON","SW423DKR-ND","1","OMRON_B3FS-1000P"
"85","S404","","B3FS-1000P","OMRON","SW423DKR-ND","1","OMRON_B3FS-1000P"
"86","S405","","B3FS-1000P","OMRON","SW423DKR-ND","1","OMRON_B3FS-1000P"
"87","TP_3V201","","TestPoint","","","1","TestPoint"
"88","TP_5VRegOut","","TestPoint","","","1","TestPoint"
"89","TP_ADDR_LED","","TestPoint","","","1","TestPoint"
"90","TP_FONT_~Select~","","TestPoint","","","1","TestPoint"
"91","TP_IMU_INT","","TestPoint","","","1","TestPoint"
"92","TP_IMU_~RST~","","TestPoint","","","1","TestPoint"
"93","TP_LCD_DC","","TestPoint","","","1","TestPoint"
"94","TP_LCD_~CS~","","TestPoint","","","1","TestPoint"
"95","TP_MEGA_~RST~","","TestPoint","","","1","TestPoint"
"96","TP_SAM_SWCLK","","TestPoint","","","1","TestPoint"
"97","TP_SAM_SWDIO","","TestPoint","","","1","TestPoint"
"98","TP_SAM_~RST~","","TestPoint","","","1","TestPoint"
"99","TP_SAMRX_MEGATX","","TestPoint","","","1","TestPoint"
"100","TP_SAMTX_MEGA_RX","","TestPoint","","","1","TestPoint"
"101","TP_SCL","","TestPoint","","","1","TestPoint"
"102","TP_SDA","","TestPoint","","","1","TestPoint"
"103","TP_SPI_CLK","","TestPoint","","","1","TestPoint"
"104","TP_SPI_MISO","","TestPoint","","","1","TestPoint"
"105","TP_SPI_MOSI","","TestPoint","","","1","TestPoint"
"106","TP_Switch_Battery","","TestPoint","","","1","TestPoint"
"107","TPS401","","TestPoint","","","1","TestPoint"
"108","TPS402","","TestPoint","","","1","TestPoint"
"109","TPS403","","TestPoint","","","1","TestPoint"
"110","TPS404","","TestPoint","","","1","TestPoint"
"111","TPS405","","TestPoint","","","1","TestPoint"
"112","U101","IC MCU 8BIT 32KB FLASH 32TQFP","ATMega328P-AU","ATMEGA328P-AU","","1","QFP32P80_900X900X120L60X37N"
"113","U201","MIC5219-5.0YM5-TR","MIC5219-5.0YM5-TR","Microchip","576-2770-6-ND","1","SOT23-5P95_280X145L45X37N"
"114","U202","MIC5219-3.3YM5-TR","MIC5219-3.3YM5-TR","Microchip","576-1281-6-ND","1","SOT23-5P95_280X145L45X37N"
"115","U501","","ATSAMD11C14A-SSNT","Atmel","ATSAMD11C14A-SSNTDKR-ND","1","SOIC14P127_864X599X174L83X41N"
"116","U601","","BME280","Bosch-Sensortec","","1","BME280"
"117","U701","BNO055","BNO055","Bosch-Sensortec","828-1058-1-ND","1","PQFN28P50_505X385X118L47X25N"
"118","U801","","MCP79400-I/SN","Microchip","MCP79400-I/SN-ND","1","SOIC8P127_490X600X175L83X41N_AD4"
"119","Y101","16.00 MHz","ABM3-16.000MHZ","Abracon ABM3-16.000MHZ-B2-T","535-9103-1-ND","1","XTAL500X320X130"
"120","Y701","32.768 kHz","MC-405","Epson MC-405  32.7680K-E3: ROHS","SER4311TR-ND","1","XTAL960X406X315"
"121","Y801","32.768 kHz","MC-405","Epson MC-405  32.7680K-E3: ROHS","SER4311TR-ND","1","XTAL960X406X315"
"","","","","","","121",""
